name L N N_p dt T num_threads total_time ave_time
ppm_omp 100 128 800 0.1 10 1 0.00192308 0.000192308
ppm_omp 100 128 1600 0.1 10 1 0.00199103 0.000199103
ppm_omp 100 128 3200 0.1 10 1 0.00213313 0.000213313
ppm_omp 100 128 6400 0.1 10 1 0.00266004 0.000266004
ppm_omp 100 128 12800 0.1 10 1 0.00428295 0.000428295
ppm_omp 100 128 800 0.1 10 2 0.00206709 0.000206709
ppm_omp 100 128 1600 0.1 10 2 0.00226092 0.000226092
ppm_omp 100 128 3200 0.1 10 2 0.00239587 0.000239587
ppm_omp 100 128 6400 0.1 10 2 0.00294113 0.000294113
ppm_omp 100 128 12800 0.1 10 2 0.004251 0.0004251
ppm_omp 100 128 800 0.1 10 3 0.00222993 0.000222993
ppm_omp 100 128 1600 0.1 10 3 0.00215602 0.000215602
ppm_omp 100 128 3200 0.1 10 3 0.00258589 0.000258589
ppm_omp 100 128 6400 0.1 10 3 0.00302505 0.000302505
ppm_omp 100 128 12800 0.1 10 3 0.00407505 0.000407505
ppm_omp 100 128 800 0.1 10 4 0.00218892 0.000218892
ppm_omp 100 128 1600 0.1 10 4 0.00226593 0.000226593
ppm_omp 100 128 3200 0.1 10 4 0.00249004 0.000249004
ppm_omp 100 128 6400 0.1 10 4 0.00290895 0.000290895
ppm_omp 100 128 12800 0.1 10 4 0.00423884 0.000423884
ppm_omp 100 128 800 0.1 10 5 0.00212193 0.000212193
ppm_omp 100 128 1600 0.1 10 5 0.00230408 0.000230408
ppm_omp 100 128 3200 0.1 10 5 0.00245214 0.000245214
ppm_omp 100 128 6400 0.1 10 5 0.00292087 0.000292087
ppm_omp 100 128 12800 0.1 10 5 0.00451279 0.000451279
ppm_omp 100 128 800 0.1 10 6 0.00206113 0.000206113
ppm_omp 100 128 1600 0.1 10 6 0.00230718 0.000230718
ppm_omp 100 128 3200 0.1 10 6 0.00234604 0.000234604
ppm_omp 100 128 6400 0.1 10 6 0.00282383 0.000282383
ppm_omp 100 128 12800 0.1 10 6 0.00421405 0.000421405
ppm_omp 100 128 800 0.1 10 7 0.00209093 0.000209093
ppm_omp 100 128 1600 0.1 10 7 0.00228381 0.000228381
ppm_omp 100 128 3200 0.1 10 7 0.00234509 0.000234509
ppm_omp 100 128 6400 0.1 10 7 0.00290298 0.000290298
ppm_omp 100 128 12800 0.1 10 7 0.00447798 0.000447798
ppm_omp 100 128 800 0.1 10 8 0.00214314 0.000214314
ppm_omp 100 128 1600 0.1 10 8 0.00218201 0.000218201
ppm_omp 100 128 3200 0.1 10 8 0.00235701 0.000235701
ppm_omp 100 128 6400 0.1 10 8 0.0030489 0.00030489
ppm_omp 100 128 12800 0.1 10 8 0.00427198 0.000427198
ppm_omp 100 128 800 0.1 10 12 0.0023582 0.00023582
ppm_omp 100 128 1600 0.1 10 12 0.00286603 0.000286603
ppm_omp 100 128 3200 0.1 10 12 0.00244117 0.000244117
ppm_omp 100 128 6400 0.1 10 12 0.00294089 0.000294089
ppm_omp 100 128 12800 0.1 10 12 0.00451899 0.000451899
ppm_omp 100 128 800 0.1 10 16 0.00375199 0.000375199
ppm_omp 100 128 1600 0.1 10 16 0.00370193 0.000370193
ppm_omp 100 128 3200 0.1 10 16 0.0038538 0.00038538
