name L N N_p dt T num_threads total_time ave_time
ppm_omp 100 256 800 0.1 100 1 0.074693 0.00074693
ppm_omp 100 256 1600 0.1 100 1 0.078104 0.00078104
ppm_omp 100 256 3200 0.1 100 1 0.0779941 0.000779941
ppm_omp 100 256 6400 0.1 100 1 0.085536 0.00085536
ppm_omp 100 256 12800 0.1 100 1 0.09657 0.0009657
ppm_omp 100 352 800 0.1 100 2 0.184944 0.00184944
ppm_omp 100 352 1600 0.1 100 2 0.189182 0.00189182
ppm_omp 100 352 3200 0.1 100 2 0.18557 0.0018557
ppm_omp 100 352 6400 0.1 100 2 0.19911 0.0019911
ppm_omp 100 352 12800 0.1 100 2 0.205273 0.00205273
ppm_omp 100 424 800 0.1 100 3 0.430922 0.00430922
ppm_omp 100 424 1600 0.1 100 3 0.428914 0.00428914
ppm_omp 100 424 3200 0.1 100 3 0.46327 0.0046327
ppm_omp 100 424 6400 0.1 100 3 0.454575 0.00454575
ppm_omp 100 424 12800 0.1 100 3 0.46496 0.0046496
ppm_omp 100 485 800 0.1 100 4 0.830676 0.00830676
ppm_omp 100 485 1600 0.1 100 4 0.835528 0.00835528
ppm_omp 100 485 3200 0.1 100 4 0.850143 0.00850143
ppm_omp 100 485 6400 0.1 100 4 0.842259 0.00842259
ppm_omp 100 485 12800 0.1 100 4 0.86221 0.0086221
ppm_omp 100 538 800 0.1 100 5 0.565446 0.00565446
ppm_omp 100 538 1600 0.1 100 5 0.549073 0.00549073
ppm_omp 100 538 3200 0.1 100 5 0.565523 0.00565523
ppm_omp 100 538 6400 0.1 100 5 0.564853 0.00564853
ppm_omp 100 538 12800 0.1 100 5 0.562851 0.00562851
ppm_omp 100 585 800 0.1 100 6 0.432802 0.00432802
ppm_omp 100 585 1600 0.1 100 6 0.427223 0.00427223
ppm_omp 100 585 3200 0.1 100 6 0.413642 0.00413642
ppm_omp 100 585 6400 0.1 100 6 0.439047 0.00439047
ppm_omp 100 585 12800 0.1 100 6 0.467494 0.00467494
ppm_omp 100 628 800 0.1 100 7 0.595755 0.00595755
ppm_omp 100 628 1600 0.1 100 7 0.579502 0.00579502
ppm_omp 100 628 3200 0.1 100 7 0.594104 0.00594104
ppm_omp 100 628 6400 0.1 100 7 0.628553 0.00628553
ppm_omp 100 628 12800 0.1 100 7 0.634955 0.00634955
ppm_omp 100 669 800 0.1 100 8 1.51523 0.0151523
ppm_omp 100 669 1600 0.1 100 8 1.50378 0.0150378
ppm_omp 100 669 3200 0.1 100 8 1.50684 0.0150684
ppm_omp 100 669 6400 0.1 100 8 1.5096 0.015096
ppm_omp 100 669 12800 0.1 100 8 1.54195 0.0154195
ppm_omp 100 807 800 0.1 100 12 1.73055 0.0173055
ppm_omp 100 807 1600 0.1 100 12 1.9087 0.019087
ppm_omp 100 807 3200 0.1 100 12 1.72276 0.0172276
ppm_omp 100 807 6400 0.1 100 12 1.55577 0.0155577
ppm_omp 100 807 12800 0.1 100 12 1.99478 0.0199478
ppm_omp 100 923 800 0.1 100 16 1.67778 0.0167778
ppm_omp 100 923 1600 0.1 100 16 1.71696 0.0171696
ppm_omp 100 923 3200 0.1 100 16 1.73182 0.0173182
ppm_omp 100 923 6400 0.1 100 16 1.77924 0.0177924
ppm_omp 100 923 12800 0.1 100 16 1.7626 0.017626
ppm_omp 100 1024 800 0.1 100 20 1.20713 0.0120713
ppm_omp 100 1024 1600 0.1 100 20 1.38516 0.0138516
ppm_omp 100 1024 3200 0.1 100 20 1.37469 0.0137469
ppm_omp 100 1024 6400 0.1 100 20 1.35131 0.0135131
ppm_omp 100 1024 12800 0.1 100 20 1.32996 0.0132996
ppm_omp 100 1115 800 0.1 100 24 3.88661 0.0388661
ppm_omp 100 1115 1600 0.1 100 24 3.7191 0.037191
ppm_omp 100 1115 3200 0.1 100 24 2.54991 0.0254991
ppm_omp 100 1115 6400 0.1 100 24 3.66417 0.0366417
ppm_omp 100 1115 12800 0.1 100 24 2.56263 0.0256263
ppm_omp_full 100 256 800 0.1 100 1 0.127549 0.00127549
ppm_omp_full 100 256 1600 0.1 100 1 0.130203 0.00130203
ppm_omp_full 100 256 3200 0.1 100 1 0.136237 0.00136237
ppm_omp_full 100 256 6400 0.1 100 1 0.150421 0.00150421
ppm_omp_full 100 256 12800 0.1 100 1 0.183657 0.00183657
ppm_omp_full 100 352 800 0.1 100 2 0.26143 0.0026143
ppm_omp_full 100 352 1600 0.1 100 2 0.284329 0.00284329
ppm_omp_full 100 352 3200 0.1 100 2 0.330606 0.00330606
ppm_omp_full 100 352 6400 0.1 100 2 0.319939 0.00319939
ppm_omp_full 100 352 12800 0.1 100 2 0.400795 0.00400795
ppm_omp_full 100 424 800 0.1 100 3 1.03504 0.0103504
ppm_omp_full 100 424 1600 0.1 100 3 1.07159 0.0107159
ppm_omp_full 100 424 3200 0.1 100 3 1.13543 0.0113543
ppm_omp_full 100 424 6400 0.1 100 3 1.24981 0.0124981
ppm_omp_full 100 424 12800 0.1 100 3 1.47232 0.0147232
ppm_omp_full 100 485 800 0.1 100 4 2.30197 0.0230197
ppm_omp_full 100 485 1600 0.1 100 4 2.3537 0.023537
ppm_omp_full 100 485 3200 0.1 100 4 2.41517 0.0241517
ppm_omp_full 100 485 6400 0.1 100 4 2.53142 0.0253142
ppm_omp_full 100 485 12800 0.1 100 4 2.74261 0.0274261
ppm_omp_full 100 538 800 0.1 100 5 1.86672 0.0186672
ppm_omp_full 100 538 1600 0.1 100 5 1.90603 0.0190603
ppm_omp_full 100 538 3200 0.1 100 5 1.95931 0.0195931
